run,name,infectious,recovered,susceptiple,vaccinated
1,Deggendorf,1,0,26999,3000
1,Deggendorf,3,0,26997,3000
1,Deggendorf,5,0,26995,3000
1,Deggendorf,16,0,26984,3000
1,Deggendorf,39,1,26960,3000
1,Deggendorf,101,3,26896,3000
1,Deggendorf,245,5,26750,3000
1,Deggendorf,556,16,26428,3000
1,Deggendorf,1285,40,25675,3000
1,Deggendorf,2811,104,24085,3000
1,Deggendorf,5892,250,20858,3000
1,Deggendorf,10936,572,15492,3000
1,Deggendorf,16702,1325,8973,3000
1,Deggendorf,20136,2915,3949,3000
1,Deggendorf,19406,6142,1452,3000
1,Deggendorf,14920,11508,572,3000
1,Deggendorf,8696,18027,277,3000
1,Deggendorf,3767,23051,182,3000
1,Deggendorf,1304,25548,148,3000
1,Deggendorf,438,26428,134,3000
1,Deggendorf,147,26723,130,3000
1,Deggendorf,53,26818,129,3000
1,Deggendorf,19,26852,129,3000
1,Deggendorf,5,26866,129,3000
1,Deggendorf,1,26870,129,3000
1,Deggendorf,0,26871,129,3000
2,Deggendorf,1,0,26999,3000
2,Deggendorf,2,0,26998,3000
2,Deggendorf,4,0,26996,3000
2,Deggendorf,8,0,26992,3000
2,Deggendorf,17,1,26982,3000
2,Deggendorf,45,2,26953,3000
2,Deggendorf,100,4,26896,3000
2,Deggendorf,222,8,26770,3000
2,Deggendorf,504,18,26478,3000
2,Deggendorf,1115,47,25838,3000
2,Deggendorf,2442,104,24454,3000
2,Deggendorf,5067,230,21703,3000
2,Deggendorf,9701,522,16777,3000
2,Deggendorf,15452,1162,10386,3000
2,Deggendorf,19606,2546,4848,3000
2,Deggendorf,19866,5297,1837,3000
2,Deggendorf,16104,10223,673,3000
2,Deggendorf,10074,16614,312,3000
2,Deggendorf,4648,22152,200,3000
2,Deggendorf,1690,25163,147,3000
2,Deggendorf,540,26327,133,3000
2,Deggendorf,184,26688,128,3000
2,Deggendorf,72,26800,128,3000
2,Deggendorf,19,26853,128,3000
2,Deggendorf,5,26867,128,3000
2,Deggendorf,0,26872,128,3000
3,Deggendorf,1,0,26999,3000
3,Deggendorf,2,0,26998,3000
3,Deggendorf,4,0,26996,3000
3,Deggendorf,12,0,26988,3000
3,Deggendorf,32,1,26967,3000
3,Deggendorf,80,2,26918,3000
3,Deggendorf,176,4,26820,3000
3,Deggendorf,419,12,26569,3000
3,Deggendorf,952,33,26015,3000
3,Deggendorf,2063,82,24855,3000
3,Deggendorf,4410,180,22410,3000
3,Deggendorf,8530,431,18039,3000
3,Deggendorf,14277,985,11738,3000
3,Deggendorf,19153,2145,5702,3000
3,Deggendorf,20263,4590,2147,3000
3,Deggendorf,17279,8961,760,3000
3,Deggendorf,11416,15262,322,3000
3,Deggendorf,5528,21298,174,3000
3,Deggendorf,2019,24853,128,3000
3,Deggendorf,642,26240,118,3000
3,Deggendorf,205,26678,117,3000
3,Deggendorf,58,26826,116,3000
3,Deggendorf,12,26872,116,3000
3,Deggendorf,2,26882,116,3000
3,Deggendorf,1,26883,116,3000
3,Deggendorf,0,26884,116,3000
4,Deggendorf,1,0,26999,3000
4,Deggendorf,2,0,26998,3000
4,Deggendorf,5,0,26995,3000
4,Deggendorf,11,0,26989,3000
4,Deggendorf,24,1,26975,3000
4,Deggendorf,56,2,26942,3000
4,Deggendorf,120,5,26875,3000
4,Deggendorf,273,11,26716,3000
4,Deggendorf,637,25,26338,3000
4,Deggendorf,1414,58,25528,3000
4,Deggendorf,3125,125,23750,3000
4,Deggendorf,6407,284,20309,3000
4,Deggendorf,11661,662,14677,3000
4,Deggendorf,17351,1472,8177,3000
4,Deggendorf,20312,3250,3438,3000
4,Deggendorf,19064,6691,1245,3000
4,Deggendorf,14225,12323,452,3000
4,Deggendorf,7957,18823,220,3000
4,Deggendorf,3290,23562,148,3000
4,Deggendorf,1123,25755,122,3000
4,Deggendorf,333,26548,119,3000
4,Deggendorf,102,26780,118,3000
4,Deggendorf,30,26852,118,3000
4,Deggendorf,4,26878,118,3000
4,Deggendorf,1,26881,118,3000
4,Deggendorf,0,26882,118,3000
5,Deggendorf,1,0,26999,3000
5,Deggendorf,2,0,26998,3000
5,Deggendorf,5,0,26995,3000
5,Deggendorf,10,0,26990,3000
5,Deggendorf,25,1,26974,3000
5,Deggendorf,58,2,26940,3000
5,Deggendorf,125,5,26870,3000
5,Deggendorf,289,10,26701,3000
5,Deggendorf,662,26,26312,3000
5,Deggendorf,1489,60,25451,3000
5,Deggendorf,3230,130,23640,3000
5,Deggendorf,6633,299,20068,3000
5,Deggendorf,12017,688,14295,3000
5,Deggendorf,17584,1549,7867,3000
5,Deggendorf,20389,3360,3251,3000
5,Deggendorf,18931,6932,1137,3000
5,Deggendorf,13876,12705,419,3000
5,Deggendorf,7651,19133,216,3000
5,Deggendorf,3099,23749,152,3000
5,Deggendorf,1008,25863,129,3000
5,Deggendorf,302,26581,117,3000
5,Deggendorf,101,26784,115,3000
5,Deggendorf,37,26848,115,3000
5,Deggendorf,14,26871,115,3000
5,Deggendorf,2,26883,115,3000
5,Deggendorf,0,26885,115,3000
