key,mean,std
avg(steps),24.2,1.0
avg(healthy),83.6,8.5
avg(recovered),29916.4,8.5
avg(vaccinated),0.0,0.0
avg(steps),25.0,0.0
avg(healthy),121.2,6.0
avg(recovered),26878.8,6.0
avg(vaccinated),3000.0,0.0
avg(steps),28.2,2.7
avg(healthy),231.0,21.3
avg(recovered),23769.0,21.3
avg(vaccinated),6000.0,0.0
avg(steps),31.8,2.1
avg(healthy),365.8,6.1
avg(recovered),20634.2,6.1
avg(vaccinated),9000.0,0.0
avg(steps),37.0,2.1
avg(healthy),554.8,36.9
avg(recovered),17445.2,36.9
avg(vaccinated),12000.0,0.0
avg(steps),38.6,1.4
avg(healthy),917.0,31.0
avg(recovered),14083.0,31.0
avg(vaccinated),15000.0,0.0
avg(steps),48.2,3.3
avg(healthy),1487.8,20.8
avg(recovered),10512.2,20.8
avg(vaccinated),18000.0,0.0
avg(steps),54.8,25.8
avg(healthy),3705.2,2648.5
avg(recovered),5294.8,2648.5
avg(vaccinated),21000.0,0.0
avg(steps),36.0,49.2
avg(healthy),5617.6,752.3
avg(recovered),382.4,752.3
avg(vaccinated),24000.0,0.0
avg(steps),9.8,7.5
avg(healthy),2995.4,5.3
avg(recovered),4.6,5.3
avg(vaccinated),27000.0,0.0
avg(steps),4.0,0.0
avg(healthy),0.0,0.0
avg(recovered),0.0,0.0
avg(vaccinated),30000.0,0.0
